seg_word,count
動作,95
豈能,95
人際關係,95
滿滿的,95
萬元,95
師說,94
挫折,94
腦海,94
無關,94
電視,94
乾,94
事兒,94
stephensou,94
短暫,94
相對,94
39.8,94
片,94
一根,94
練,94
搭,94
1.74,94
剪,94
__,94
用力,94
談戀愛,94
戒,94
看不懂,94
差別,94
急,94
戒掉,94
還說,94
唱歌,94
精神病,93
眼裡,93
深刻,93
午餐,93
拋棄,93
拼命,93
圖書館,93
得不到,93
身旁,93
獨立,93
一眼,93
邊緣,93
詢問,93
具體,93
yukilala,93
背,93
傾向,93
軟體,92
總有,92
年前,92
件,92
投,92
位置,92
疲憊,92
看待,92
客人,92
留在,92
好運,92
過著,92
長時間,92
微信,92
店長,92
人變,92
委屈,92
吸引,92
少女,92
割,91
Tosca,91
睡意,91
範圍,91
一口氣,91
草萱,91
生物,91
重視,91
參與,91
收入,91
肉桂,91
循環,91
B8,91
深圳,91
健身,91
謹言慎行,91
人格,91
大夫,91
雷,90
叫做,90
優秀,90
畫畫,90
熬夜,90
深深,90
台,90
等於,90
脖子,90
一人,90
潛意識,90
告知,90
處於,90
坑,90
🌳,90
心想,90
温暖,90
成熟,90
遠離,90
睡得,90
醬子,90
試,90
人員,89
錄取,89
阻止,89
沉默,89
則無,89
機,89
陰影,89
四年,89
之外,89
好幾個,89
嘴,89
池塘,89
放假,89
哀,89
輔導,89
培養,89
假日,89
尊重,89
斷,89
有病,89
風,89
老婆,89
放過,88
應,88
刻意,88
唱,88
天亮,88
騎車,88
肌肉,88
教練,88
起伏,88
短,88
免費,88
39.12,88
這麼久,88
變天,88
拍照,88
巨大,88
現實生活,88
泡,88
謝謝你們,88
糖尿病,88
我用,88
渣,88
吃不下,88
種種,88
神經病,88
39.10,87
讚,87
不幸,87
樓下,87
以往,87
學長,87
流,87
勒索,87
未,87
組,87
惹,87
所說,87
求助,87
脫離,87
午安,87
鬧鐘,87
創傷,87
愛人,87
再度,87
GoodGoodSee,86
醫療,86
到來,86
周圍,86
兩種,86
職場,86
🌱,86
聲,86
成就,86
樓,86
交朋友,86
消息,86
一塊,86
SaChiA5566,86
愧疚,86
相同,86
更新,86
一群,86
皮膚,86
國家,86
停下來,86
糟,86
開玩笑,86
撞,85
還蠻,85
點多,85
群,85
修,85
強迫症,85
胃,85
反省,85
毛病,85
集中,85
題目,85
就連,85
三次,85
◢,85
藥量,85
營養,85
失落,85
加重,85
前男友,85
祢,85
氣氛,85
情,85
遠方,84
從小到大,84
一陣,84
逃離,84
價值觀,84
很多很多,84
好聽,84
喝水,84
破,84
接到,84
女孩子,84
錯過,84
噩夢,84
一時,84
sandpool,84
↗,84
